ID;Name;Category;Primary Muscle;Secondary Muscle;Equipment
345;2 Handed Kettlebell Swing;Abs;;;Kettlebell
1061;Abdominal Stabilization;Abs;Abs;;Gym mat
2145;Abdominales sovieticas;Abs;Abs;;Kettlebell
1051;Ball crunches;Abs;;;
343;Barbell Ab Rollout;Abs;;;Barbell
2177;Bauchtrainer;Abs;;Abs;
1238;Bicipiti con trx;Abs;Biceps;;none (bodyweight exercise)
2381;Bird dog;Abs;Abs;Glutes;none (bodyweight exercise)
167;Cable Woodchoppers;Abs;;;
91;Crunches;Abs;Abs;;Gym mat
2290;Crunches HD;Abs;, Abs;;none (bodyweight exercise)
92;Crunches With Cable;Abs;Abs;;
416;Crunches With Legs Up;Abs;Abs;;
94;Crunches on Machine;Abs;Abs;;
544;Deadbug;Abs;;;
2373;Dragon-flag;Abs;, Abs;Shoulders, Glutes, Lats, Triceps;
2385;Dumbbell Crunches;Abs;Abs;;Dumbbell
2058;Dynamic side hold;Abs;;Abs;Kettlebell
2144;Flexión lateral;Abs;;;Dumbbell
303;Flutter Kicks;Abs;, Abs;;
2200;Frog stand;Abs;Shoulders, Biceps, , Abs;;none (bodyweight exercise)
2207;Front Lever;Abs;Lats, Abs;;none (bodyweight exercise)
2272;Front Plank;Abs;Abs;, Chest, Quads, ;none (bodyweight exercise)
2211;Front lever pull-up;Abs;Biceps, Lats, Abs;Shoulders;Pull-up bar
326;Full Sit Outs;Abs;Glutes, , Abs;;none (bodyweight exercise)
166;Hanging Leg Raises;Abs;Abs;;Pull-up bar
2376;Heel Touches;Abs;;Abs;none (bodyweight exercise)
383;Hollow Hold;Abs;, Abs;;Gym mat, none (bodyweight exercise)
2061;Horizontal traction isometry;Abs;Lats, Chest;Shoulders, Biceps;Pull-up bar
2210;Ice Scream maker;Abs;Lats;Abs;none (bodyweight exercise)
1052;Incline Crutches;Abs;Abs;;Incline bench
165;Incline Plank With Alternate Floor Touch;Abs;Abs;;
2128;Iperestensioni Lombari;Abs;Glutes;Hamstrings, , Lats;none (bodyweight exercise)
1252;Kettlebell Swing;Abs;Shoulders, Glutes;Quads, Abs, ;Kettlebell
1291;Knee Raises;Abs;Abs;;Pull-up bar
2296;Kopfüber Gewichtaufheben;Abs;Abs;;Kettlebell
281;L Hold;Abs;;;
125;Leg Raises, Lying;Abs;Abs;;Gym mat
126;Leg Raises, Standing;Abs;Abs;;
1293;Leg raises pull up bar;Abs;Abs;, Quads;Pull-up bar
2279;Lying Leg Raise;Abs;Abs;;none (bodyweight exercise)
1286;Medicine ball booklet crunch;Abs;Abs;;none (bodyweight exercise)
2039;Medicine ball twist;Abs;, Abs;;Swiss Ball
93;Negative Crunches;Abs;Abs;;
2212;Oblicuos en TRX;Abs;, Abs, ;Shoulders, Chest;
197;Overhand Cable Curl;Abs;Biceps;;
2150;PALLOF PRESS;Abs;Shoulders, Glutes, , Abs, , ;Chest, Triceps;
2259;Piegamenti a una mano;Abs;Chest, Triceps;Shoulders, Abs;none (bodyweight exercise)
2255;Planche de cote dynamique;Abs;;Abs;none (bodyweight exercise)
2253;Planche dynamique;Abs;Abs;;none (bodyweight exercise)
238;Plank;Abs;, Abs;Biceps, Quads, Triceps;none (bodyweight exercise)
2044;Plank Shoulter Taps;Abs;Shoulders, Glutes, Abs;Lats;Gym mat
2369;Plank-to-Elbow Extension;Abs;Shoulders, Abs, Triceps;, Chest;
2024;Plate twist;Abs;, Abs;;Gym mat
2254;Reach ups;Abs;;Abs;none (bodyweight exercise)
409;Reverse Plank;Abs;;;
263;Roman Chair;Abs;;;
2340;Rotary Torso Machine;Abs;Abs;;
2149;Russian Twist;Abs;Lats, , Abs;;Dumbbell, Gym mat, Swiss Ball
631;Scissors;Abs;Abs;;
2071;Seated Knee Tuck;Abs;Abs;;none (bodyweight exercise)
2070;Seated Knee Tuck;Abs;Abs;;none (bodyweight exercise)
1070;Side Bends on Machine;Abs;;Abs;Dumbbell
176;Side Crunch;Abs;;Abs;Gym mat
278;Side Dumbbell Trunk Flexion;Abs;;Abs;Dumbbell
325;Side Plank;Abs;Abs;;none (bodyweight exercise)
2294;Side Plank;Abs;;Biceps, Triceps;none (bodyweight exercise)
1923;Side plank right;Abs;;;none (bodyweight exercise)
2299;Sit-Ups (conventional);Abs;Abs;;none (bodyweight exercise)
2300;Sit-Ups (elbow to knee);Abs;;Abs;none (bodyweight exercise)
95;Sit-ups;Abs;Abs;;
170;Splinter Sit-ups;Abs;;;
1288;Squat box;Abs;Glutes, Quads, ;;none (bodyweight exercise)
2391;Standing Side Crunches;Abs;;Abs;none (bodyweight exercise)
2344;TORSO TWIST;Abs;Abs;;none (bodyweight exercise)
2209;TRX roll out;Abs;Abs;, ;none (bodyweight exercise)
2389;Toe Taps;Abs;Abs;;none (bodyweight exercise)
2258;Trazioni impugnatura inversa;Abs;Biceps, Lats;Abs;Pull-up bar
1239;Trazioni orizzontali al trx;Abs;Shoulders, Biceps, Lats;;none (bodyweight exercise)
310;Trunk Rotation With Cable;Abs;;Lats;
318;Turkish Get-Up;Abs;Shoulders, Glutes, , ;Shoulders, Glutes, , ;Dumbbell
2042;Vpushup;Abs;Chest, Quads, Abs, Triceps;;none (bodyweight exercise)
2378;bicycle crunches;Abs;Abs;;none (bodyweight exercise)
1296;commando pull-ups;Abs;Shoulders, Biceps, Lats, ;;Pull-up bar
2065;walking bridge;Abs;Abs;Shoulders, Biceps, Glutes, Lats;none (bodyweight exercise)
2148;Alternating Biceps Curls With Dumbbell;Arms;Biceps;;Dumbbell
1907;Alternating bicep curls;Arms;;;Dumbbell
2186;Australian pull-ups;Arms;Shoulders, Biceps, Lats;;none (bodyweight exercise)
289;Axe Hold;Arms;;;Dumbbell
1702;Backward arm circles;Arms;;;none (bodyweight exercise)
759;Barbell Reverse Wrist Curl;Arms;;;Barbell, Bench
344;Barbell Triceps Extension;Arms;Triceps;Shoulders, Chest;Barbell
758;Barbell Wrist Curl;Arms;Shoulders, Hamstrings;Biceps, ;Barbell, Bench
2292;Bench Dips On Floor HD;Arms;Biceps, , Triceps;Shoulders, Chest, , ;none (bodyweight exercise)
88;Bench Press Narrow Grip;Arms;Triceps;Shoulders, Chest;Barbell, Bench
2247;Biceps Close Grip Pull Down;Arms;Biceps;Shoulders, Lats;
2387;Biceps Curl Machine;Arms;Biceps;;
129;Biceps Curl With Cable;Arms;Biceps;;
2304;Biceps Curls (Dumbbell);Arms;Biceps;;Dumbbell
74;Biceps Curls With Barbell;Arms;Biceps;;Barbell
81;Biceps Curls With Dumbbell;Arms;Biceps;;Dumbbell
