user_preferences;workout_plan;user_feedback
{'days': 4, 'split': 'full-body', 'goals': 'muscle_building', 'cardio': True, 'muscles': ['pull']};[{'day': 'Pull Day 1', 'exercises': ['One Arm Bent Row', 'Bicipiti con trx', 'Biceps Curls (Dumbbell)', 'Curl de biceps con agarre prono', 'Front Lever', 'Seated Cable Rows']}, {'day': 'Pull Day 2', 'exercises': ['Lat Pull DB', 'Cable Row', 'Hammercurls on Cable', 'Curl Araña', 'TRX hammer curl - biceps', 'Dumbbell Hang Power Cleans']}, {'day': 'Cardio Day', 'exercises': ['Jump rope: basic jumps', 'Zone 2 Running', 'Jogging', 'Run - Treadmill', 'Cycling cardio session', 'Swimming 50m sprints']}];{'satisfaction': 5, 'progress': 1, 'adherence': 5, 'effectiveness': 7}
{'days': 5, 'split': 'upper-lower', 'goals': 'muscle_building', 'cardio': False, 'muscles': ['abs', 'legs']};[{'day': 'Leg Day', 'exercises': ['Legs Curls', 'Bodyweight lunge HD', 'Wall Squat', 'Seated Hip Adduction', 'Wall Drills', 'Standing Calf Raise']}, {'day': 'Abs Day', 'exercises': ['Bauchtrainer', 'Reach ups', 'Dynamic side hold', 'TRX roll out', 'Negative Crunches', 'Kopfüber Gewichtaufheben']}];{'satisfaction': 8, 'progress': 7, 'adherence': 7, 'effectiveness': 9}
{'days': 3, 'split': 'full-body', 'goals': 'fat_loss', 'cardio': False, 'muscles': ['push', 'abs', 'pull', 'legs']};[{'day': 'Push Day 1', 'exercises': ['Biceps Close Grip Pull Down', 'Kreis Press DB', 'Triceps Pushdown', 'Handstand Pushup', 'Elliptical', 'Push Press']}, {'day': 'Pull Day 1', 'exercises': ['Overhand Cable Curl', 'scorpion kick', 'Rowing, Seated', 'Counterclockwise neck circles', 'Chin Up', 'Dumbbell bicep curl to press']}, {'day': 'Leg Day', 'exercises': ['Dumbbell Single-leg Hip Thrust', 'Wall Drills', 'Glute Bridge', 'Jumping Jacks', 'Side split squats left', 'Dumbbell sumo deadlift']}, {'day': 'Abs Day', 'exercises': ['Sit-Ups (elbow to knee)', 'Knee Raises', 'Crunches HD', 'Ball crunches', 'Seated Knee Tuck', 'Crunches']}];{'satisfaction': 3, 'progress': 2, 'adherence': 4, 'effectiveness': 5}
{'days': 6, 'split': 'full-body', 'goals': 'muscle_building', 'cardio': True, 'muscles': ['pull', 'push', 'abs']};[{'day': 'Push Day 1', 'exercises': ['Shrugs, Barbells', 'Front Raises with Plates', 'Standing biceps stretch left', 'Dips', 'Butterfly Reverse', 'Right neck stretch']}, {'day': 'Push Day 2', 'exercises': ['Upright Row, SZ-bar', 'Barbell Wrist Curl', 'Incline Chest Press DB', 'Snatch OL', 'Triceps Machine', 'Decline Bench Press Dumbbell']}, {'day': 'Push Day 3', 'exercises': ['Piegamenti a una mano', 'Handstand Push Up', 'Seated Triceps Press', 'Horizontal traction isometry', 'Pullover Machine', 'Straight-arm Pull Down (bar Attachment)']}, {'day': 'Pull Day 1', 'exercises': ['Remo Gironda', 'Biceps Curls With Barbell', 'Forward shoulder rotation', 'Wide-grip Pulldown', 'Cable Row', 'Remo maquina agarre estrecho supino']}, {'day': 'Pull Day 2', 'exercises': ['Lower Back Extensions', 'Bicipiti con trx', 'Overhand Cable Curl', 'Straight Bar Cable Curls', 'Trunk Rotation With Cable', 'Skydiver with arms in T-position']}, {'day': 'Pull Day 3', 'exercises': ['Trunk Rotation With Cable', 'Sit & Reach', 'Biceps Curls With Barbell', 'Incline Dumbbell Row', 'Hammercurls', 'JALONES PECHO NEUTRO']}, {'day': 'Abs Day', 'exercises': ['Barbell Ab Rollout', 'Reach ups', 'Sit-ups', 'Plate twist', 'Crunches With Cable', 'Seated Knee Tuck']}, {'day': 'Cardio Day', 'exercises': ['Run - Interval Training', 'Swimming 50m sprints', 'Jump rope: basic jumps', '3D lunge warmup', 'Run - Treadmill', 'Jogging']}];{'satisfaction': 8, 'progress': 8, 'adherence': 9, 'effectiveness': 9}
{'days': 6, 'split': 'upper-lower', 'goals': 'muscle_building', 'cardio': True, 'muscles': ['abs']};[{'day': 'Abs Day', 'exercises': ['Leg Raises, Lying', 'Flexión lateral', 'Heel Touches', 'Sit-Ups (elbow to knee)', 'Reverse Plank', 'Medicine ball booklet crunch']}, {'day': 'Cardio Day', 'exercises': ['Running', '3D lunge warmup', 'Stationary Bike', 'Zone 2 Running', 'Run', 'Run - Interval Training']}];{'satisfaction': 9, 'progress': 8, 'adherence': 6, 'effectiveness': 8}
{'days': 3, 'split': 'full-body', 'goals': 'muscle_building', 'cardio': True, 'muscles': ['push', 'pull', 'abs']};[{'day': 'Push Day 1', 'exercises': ['Snatch OL', 'Front lever pull-up', 'Dumbbell Floor Press', 'Incline OHP DB', 'Pin Bench Press BB', 'Upright Row, SZ-bar']}, {'day': 'Pull Day 1', 'exercises': ['Close-grip Lat Pull Down', 'Rowing with TRX band', 'Cable Concentration Curl', 'Skydiver with arms in T-position', 'Remo maquina abierto supino', 'Row']}, {'day': 'Abs Day', 'exercises': ['Hanging Leg Raises', 'bicycle crunches', 'Side Crunch', 'Kopfüber Gewichtaufheben', 'Reverse Plank', 'Crunches on Machine']}, {'day': 'Cardio Day', 'exercises': ['Stationary Bike', 'Jump rope: basic jumps', 'Run', 'Zone 2 Running', 'Jogging', 'Run - Interval Training']}];{'satisfaction': 2, 'progress': 4, 'adherence': 2, 'effectiveness': 1}
{'days': 5, 'split': 'full-body', 'goals': 'fat_loss', 'cardio': True, 'muscles': ['legs']};[{'day': 'Leg Day', 'exercises': ['Legs Extensions', 'Jumping Jack HD', 'Plank with Alternating Leg Lift', 'Hack Squats', 'Adduktorenmaschine', 'ClimbMill']}, {'day': 'Cardio Day', 'exercises': ['Run - Interval Training', 'Cycling cardio session', 'Swimming 50m sprints', 'Run - Treadmill', 'Jogging', 'High knees']}];{'satisfaction': 8, 'progress': 6, 'adherence': 7, 'effectiveness': 9}
{'days': 6, 'split': 'upper-lower', 'goals': 'fat_loss', 'cardio': True, 'muscles': ['abs', 'push']};[{'day': 'Push Day 1', 'exercises': ['Snach', 'Arnold Shoulder Press', 'TRX Tricep Extension', 'Shoulder Shrug', 'Cable Rear Delt Fly', 'Decline Pushups']}, {'day': 'Push Day 2', 'exercises': ['Left neck stretch', 'Shoulder Press, Dumbbells', 'Upright Row, SZ-bar', 'Bent-over Lateral Raises', 'Front Raises with Plates', 'Pin OHP']}, {'day': 'Push Day 3', 'exercises': ['Pike Push Ups', 'Reverse Snow Angel', 'Upper Back', 'Pendelay Rows', 'Dumbbell Bent Over Row', 'knee push-ups']}, {'day': 'Abs Day', 'exercises': ['Lying Leg Raise', 'TORSO TWIST', 'Sit-ups', 'Incline Crutches', 'Seated Knee Tuck', 'Hanging Leg Raises']}, {'day': 'Cardio Day', 'exercises': ['Running', '3D lunge warmup', 'Stationary Bike', 'Run - Interval Training', 'Jump rope: basic jumps', 'Run']}];{'satisfaction': 8, 'progress': 7, 'adherence': 8, 'effectiveness': 8}
{'days': 6, 'split': 'full-body', 'goals': 'muscle_building', 'cardio': True, 'muscles': ['legs', 'abs', 'push']};[{'day': 'Push Day 1', 'exercises': ['Push-Ups | Parallettes', 'Biceps Close Grip Pull Down', 'SMITH MACHINE SLIGHT INCLINE PRESS', 'Elliptical', 'Diagonal Shoulder Press', 'PRESS HORIZONTAL']}, {'day': 'Push Day 2', 'exercises': ['Snatch OL', 'Tricep Dumbbell Kickback', 'Power Clean', 'Triceps stretch right', 'Fly With Cable', 'Pin Bench Press BB']}, {'day': 'Push Day 3', 'exercises': ['Landmine press', 'Dumbbell Lateral Raise', 'Seated Triceps Press', 'Biceps Close Grip Pull Down', 'Dips Between Two Benches', 'Cable Rear Delt Fly']}, {'day': 'Leg Day', 'exercises': ['Legs Extensions', 'Extensión de gluteo en  máquina', 'Adduktorenmaschine', 'Bulgarian split squats left', 'Crossbody Hamstring Stretch', 'Dumbbell Split Squat']}, {'day': 'Abs Day', 'exercises': ['Leg Raises, Lying', 'Rotary Torso Machine', 'bicycle crunches', 'Sit-Ups (conventional)', 'Bird dog', 'Splinter Sit-ups']}, {'day': 'Cardio Day', 'exercises': ['Run', 'Cycling cardio session', 'Swimming 50m sprints', 'Run - Treadmill', 'Jump rope: basic jumps', 'Running']}];{'satisfaction': 7, 'progress': 7, 'adherence': 7, 'effectiveness': 7}
{'days': 4, 'split': 'upper-lower', 'goals': 'general', 'cardio': False, 'muscles': ['push']};[{'day': 'Push Day 1', 'exercises': ['Incline Dumbbell Press', 'Horizontal traction isometry', 'Bench Dips On Floor HD', 'Upright Row, on Multi Press', 'Front lever pull-up', 'Shoulder dislocates']}, {'day': 'Push Day 2', 'exercises': ['Ring Dips', 'Cable Lateral Raises (Single Arm)', 'Bench Press', 'Pendelay Rows', 'Triceps stretch left', 'Trazioni orizzontali al trx']}];{'satisfaction': 1, 'progress': 4, 'adherence': 1, 'effectiveness': 9}
